id,arr_time,board_from
2863,21:18:37.627280,2
2864,21:19:37.033221,2
2865,21:20:39.533221,2
2866,21:21:42.033221,2
2867,21:22:41.439162,2
2868,21:23:40.845103,2
2869,21:24:42.700773,2
2870,21:25:40.393081,2
2871,21:26:39.799022,2
2872,21:27:41.023512,2
2873,21:28:38.715820,2
2874,21:29:35.858677,2
2875,21:30:36.464738,2
3566,21:22:00.373736,3
3567,21:23:16.323103,3
3568,21:24:28.612260,3
3569,21:25:46.534338,3
3570,21:27:00.608412,3
3571,21:28:12.897569,3
3572,21:29:32.897569,3
3573,21:30:52.897569,3
4610,21:24:43.607723,4
4611,21:25:34.027891,4
4612,21:26:22.808379,4
4613,21:27:11.195476,4
4614,21:28:01.195476,4
4615,21:28:49.195476,4
4616,21:29:38.782253,4
4617,21:30:27.169350,4
6177,21:27:53.856688,5
6178,21:28:26.643573,5
6179,21:29:00.734482,5
6180,21:29:34.825391,5
6181,21:30:08.916300,5
6880,21:31:08.633034,6
7871,21:53:41.428572,9
