id,arr_time,board_from
2864,21:21:03.261445,2
2865,21:22:00.404302,2
2866,21:23:02.904302,2
2867,21:24:01.727831,2
2868,21:25:03.583501,2
2869,21:26:03.583501,2
2870,21:27:02.407030,2
2871,21:28:00.099338,2
2872,21:29:00.099338,2
2873,21:29:58.351765,2
2874,21:30:58.957826,2
3561,21:25:01.269409,3
3562,21:26:17.218776,3
3563,21:27:28.647347,3
3564,21:28:45.570424,3
3565,21:29:57.859581,3
3566,21:31:14.782658,3
4607,21:27:57.837062,4
4608,21:28:49.561200,4
4609,21:29:39.147977,4
4610,21:30:29.995435,4
