id,arr_time,board_from
1979,21:20:37.857851,1
1980,21:21:04.058724,1
1981,21:21:29.920793,1
1982,21:21:56.352511,1
1983,21:22:21.993537,1
1984,21:22:48.080494,1
1985,21:23:13.942563,1
1986,21:23:40.374281,1
1987,21:24:06.348307,1
1988,21:24:32.322333,1
1989,21:24:58.073406,1
1990,21:25:24.389195,1
1991,21:25:51.055862,1
1992,21:26:17.256735,1
1993,21:26:43.230761,1
1994,21:27:08.871787,1
1995,21:27:34.403702,1
1996,21:27:59.935617,1
1997,21:28:26.022574,1
1998,21:28:51.773647,1
1999,21:29:17.635716,1
2000,21:29:43.167631,1
2001,21:30:09.483420,1
2868,21:26:44.134736,2
2869,21:27:45.359226,2
2870,21:28:45.965287,2
2871,21:29:46.571348,2
2872,21:30:49.071348,2
3566,21:30:15.039909,3
