id,arr_time,board_from
2857,21:13:32.432851,2
2858,21:14:33.038912,2
2859,21:15:33.038912,2
2860,21:16:33.644973,2
2861,21:17:36.144973,2
2862,21:18:38.644973,2
2863,21:19:36.897400,2
2864,21:20:36.897400,2
2865,21:21:35.720929,2
2866,21:22:33.973356,2
2867,21:23:33.379297,2
2868,21:24:31.631724,2
2869,21:25:32.856214,2
2870,21:26:29.999071,2
2871,21:27:32.499071,2
2872,21:28:29.641928,2
2873,21:29:27.894355,2
2874,21:30:31.052250,2
3554,21:16:40.301604,3
3555,21:17:52.590761,3
3556,21:19:04.879918,3
3557,21:20:15.468153,3
3558,21:21:30.468153,3
3559,21:22:45.468153,3
3560,21:24:02.391230,3
3561,21:25:12.979465,3
3562,21:26:27.053539,3
3563,21:27:41.127613,3
3564,21:28:59.049691,3
3565,21:30:19.049691,3
4598,21:19:14.809018,4
4599,21:20:06.982931,4
4600,21:20:57.403099,4
4601,21:21:48.250557,4
4602,21:22:39.098015,4
4603,21:23:28.684792,4
4604,21:24:17.865120,4
4605,21:25:05.865120,4
4606,21:25:57.589258,4
4607,21:26:49.313396,4
4608,21:27:38.900173,4
4609,21:28:28.486950,4
4610,21:29:18.073727,4
4611,21:30:07.660504,4
6161,21:22:23.122353,5
6162,21:22:56.089386,5
6163,21:23:29.608939,5
6164,21:24:02.217635,5
6165,21:24:35.004520,5
6166,21:25:08.337853,5
6167,21:25:42.045718,5
6168,21:26:15.379051,5
6169,21:26:47.987747,5
6170,21:27:21.695612,5
6171,21:27:54.662645,5
6172,21:28:28.182198,5
6173,21:29:01.331369,5
6174,21:29:35.039234,5
6175,21:30:09.130143,5
6873,21:30:09.810395,6
7869,22:18:55.714286,9
