transit_id,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8,stop_9,stop_10,stop_11,stop_12,stop_13,stop_14,stop_15,stop_16,stop_17,stop_18
1,0.1111111111111111,0.1,0.0,0.5555555555555556,0.0,0.0,0.5714285714285714,0.5454545454545454,0.125,0.1111111111111111,0.09090909090909091,0.14285714285714285,0.8,0.3,0.2857142857142857,0.8888888888888888,0.5,0.2
2,0.0,0.0,0.4,0.0,0.125,0.0,0.1,0.2727272727272727,0.25,0.0,0.0,0.2,0.1,0.18181818181818182,0.0,0.125,0.3333333333333333,0.1
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.7,0.8888888888888888,1.0,0.8571428571428571,0.7272727272727273,0.5,0.75,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.75,0.9090909090909091,0.8,0.75,0.8,0.9230769230769231,0.6923076923076923,0.9166666666666666
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.125,0.1111111111111111,0.1111111111111111,0.0,0.0
9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
