id,arr_time,board_from
2861,21:20:29.099100,2
2862,21:21:29.099100,2
2863,21:22:29.705161,2
2864,21:23:29.111102,2
2865,21:24:30.335592,2
2866,21:25:30.941653,2
2867,21:26:30.941653,2
2868,21:27:29.194080,2
2869,21:28:29.194080,2
2870,21:29:27.446507,2
2871,21:30:30.604402,2
3556,21:23:32.166904,3
3557,21:24:51.114272,3
3558,21:26:05.188346,3
3559,21:27:20.188346,3
3560,21:28:34.262420,3
3561,21:29:53.209788,3
3562,21:31:06.380520,3
4604,21:27:22.225162,4
4605,21:28:11.405490,4
4606,21:29:01.825658,4
4607,21:29:52.245826,4
4608,21:30:44.419739,4
7864,21:46:32.857143,9
