id,arr_time,board_from
2857,21:19:37.352206,2
2858,21:20:40.510101,2
2859,21:21:41.116162,2
2860,21:22:39.939691,2
2861,21:23:38.763220,2
2862,21:24:37.015647,2
2863,21:25:34.707955,2
2864,21:26:34.707955,2
2865,21:27:34.113896,2
2866,21:28:35.338386,2
2867,21:29:37.838386,2
2868,21:30:36.661915,2
3555,21:22:57.350485,3
3556,21:24:13.299852,3
3557,21:25:31.221930,3
3558,21:26:44.392662,3
3559,21:28:01.315739,3
3560,21:29:16.315739,3
3561,21:30:27.744310,3
4601,21:26:00.929463,4
4602,21:26:51.776921,4
4603,21:27:42.624379,4
4604,21:28:31.804707,4
4605,21:29:23.086758,4
4606,21:30:11.473855,4
6171,21:28:38.709640,5
6172,21:29:12.607945,5
6173,21:29:45.394830,5
6174,21:30:18.003526,5
7854,21:44:48.095238,9
