id,arr_time,board_from
1975,21:17:28.312224,1
1976,21:17:54.743942,1
1977,21:18:20.944815,1
1978,21:18:47.376533,1
1979,21:19:13.238602,1
1980,21:19:39.787275,1
1981,21:20:05.538348,1
1982,21:20:32.205015,1
1983,21:20:58.405888,1
1984,21:21:24.954561,1
1985,21:21:51.041518,1
1986,21:22:17.473236,1
1987,21:22:43.560193,1
1988,21:23:09.991911,1
1989,21:23:36.192784,1
1990,21:24:01.833810,1
1991,21:24:28.265528,1
1992,21:24:54.466401,1
1993,21:25:20.328470,1
1994,21:25:46.079543,1
1995,21:26:11.611458,1
1996,21:26:37.252484,1
1997,21:27:03.226510,1
1998,21:27:29.775183,1
1999,21:27:56.090972,1
2000,21:28:22.177929,1
2001,21:28:48.264886,1
2002,21:29:14.465759,1
2003,21:29:40.106785,1
2004,21:30:05.747811,1
2866,21:22:18.429649,2
2867,21:23:21.587544,2
2868,21:24:23.443214,2
2869,21:25:21.695641,2
2870,21:26:18.838498,2
2871,21:27:17.090925,2
2872,21:28:17.090925,2
2873,21:29:15.914454,2
2874,21:30:17.138944,2
3568,21:25:48.028398,3
3569,21:27:04.951475,3
3570,21:28:19.951475,3
3571,21:29:36.874552,3
3572,21:30:55.821920,3
4615,21:29:47.593519,4
4616,21:30:37.180296,4
