transit_id,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8,stop_9,stop_10,stop_11,stop_12,stop_13,stop_14,stop_15,stop_16,stop_17,stop_18
1,0.5,0.7142857142857143,0.6666666666666666,0.3333333333333333,0.7142857142857143,0.7272727272727273,1.0,0.8,0.6666666666666666,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.75,0.8,0.875,0.875,0.875,0.5555555555555556
2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,0.0,0.0,0.0,0.16666666666666666,0.25,0.0,0.1111111111111111,0.25,0.5454545454545454,0.0,0.0,0.0,0.125,0.5,0.0,0.375,0.42857142857142855,0.3
7,0.8,0.8888888888888888,1.0,0.875,1.0,0.8,0.9090909090909091,1.0,1.0,0.9090909090909091,0.875,1.0,1.0,1.0,0.6,0.875,1.0,0.6666666666666666
8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,0.8333333333333334,0.45454545454545453,1.0,0.8888888888888888,1.0,0.8888888888888888,0.75,0.3333333333333333,0.8571428571428571,0.6666666666666666,0.5555555555555556,1.0,0.8333333333333334,0.75,0.8888888888888888,0.6666666666666666,0.8333333333333334,0.7142857142857143
