id,arr_time,board_from
2852,21:06:42.477065,2
2853,21:07:41.883006,2
2854,21:08:43.738676,2
2855,21:09:42.562205,2
2856,21:10:43.168266,2
2857,21:11:45.668266,2
2858,21:12:42.811123,2
2859,21:13:41.063550,2
2860,21:14:38.755858,2
2861,21:15:37.579387,2
2862,21:16:39.435057,2
2863,21:17:41.935057,2
2864,21:18:41.340998,2
2865,21:19:44.498893,2
2866,21:20:42.751320,2
2867,21:21:42.157261,2
2868,21:22:45.315156,2
2869,21:23:47.170826,2
2870,21:24:44.863134,2
2871,21:25:42.555442,2
2872,21:26:44.411112,2
2873,21:27:43.817053,2
2874,21:28:43.817053,2
2875,21:29:43.817053,2
2876,21:30:41.509361,2
3555,21:11:00.611652,3
3556,21:12:16.561019,3
3557,21:13:32.510386,3
3558,21:14:46.584460,3
3559,21:16:05.531828,3
3560,21:17:21.481195,3
3561,21:18:39.403273,3
3562,21:19:57.325351,3
3563,21:21:10.496083,3
3564,21:22:27.419160,3
3565,21:23:45.341238,3
3566,21:25:03.263316,3
3567,21:26:21.185394,3
3568,21:27:34.356126,3
3569,21:28:51.279203,3
3570,21:30:08.202280,3
4598,21:14:24.068528,4
4599,21:15:12.455625,4
4600,21:16:03.303083,4
4601,21:16:54.585134,4
4602,21:17:44.585134,4
4603,21:18:32.972231,4
4604,21:19:22.972231,4
4605,21:20:12.152559,4
4606,21:21:00.539656,4
4607,21:21:52.713569,4
4608,21:22:41.494057,4
4609,21:23:32.341515,4
4610,21:24:24.065653,4
4611,21:25:14.913111,4
4612,21:26:02.913111,4
4613,21:26:53.760569,4
4614,21:27:45.042620,4
4615,21:28:35.042620,4
4616,21:29:25.462788,4
4617,21:30:13.849885,4
6158,21:17:55.635940,5
6159,21:18:28.785111,5
6160,21:19:01.393807,5
6161,21:19:35.292112,5
6162,21:20:08.999977,5
6163,21:20:42.707842,5
6164,21:21:15.674875,5
6165,21:21:49.194428,5
6166,21:22:22.713981,5
6167,21:22:56.421846,5
6168,21:23:29.571017,5
6169,21:24:03.856731,5
6170,21:24:38.142445,5
6171,21:25:11.291616,5
6172,21:25:43.900312,5
6173,21:26:18.186026,5
6174,21:26:51.335197,5
6175,21:27:25.043062,5
6176,21:27:57.651758,5
6177,21:28:31.359623,5
6178,21:29:05.257928,5
6179,21:29:39.348837,5
6180,21:30:12.135722,5
6867,21:24:15.106555,6
6868,21:25:29.180629,6
6869,21:26:45.129996,6
6870,21:27:55.718231,6
6871,21:29:08.007388,6
6872,21:30:18.595623,6
7396,21:28:53.186696,7
7397,21:30:29.960890,7
7829,21:31:45.209307,8
7862,21:52:41.904762,9
