id,arr_time,board_from
2859,21:21:27.937099,2
2860,21:22:30.437099,2
2861,21:23:32.292769,2
2862,21:24:33.517259,2
2863,21:25:33.517259,2
2864,21:26:32.923200,2
2865,21:27:32.923200,2
2866,21:28:34.147690,2
2867,21:29:31.839998,2
2868,21:30:34.997893,2
3563,21:24:45.656156,3
3564,21:26:00.656156,3
3565,21:27:17.579233,3
3566,21:28:35.501311,3
3567,21:29:52.424388,3
3568,21:31:07.424388,3
4605,21:27:34.907625,4
4606,21:28:26.189676,4
4607,21:29:16.189676,4
4608,21:30:04.576773,4
14695,22:19:57.619048,18
