id,waiting_time,ride_time,avg_waiting
2,0.134053083333333,3.16666666666667,22.6551123051852
4769,0.879332,3.25,
1,0.561403516666667,6.38333333333333,
14488,3.49603175,3.25,
14489,1.88312851666667,3.25,
4770,0.31753425,6.63333333333333,
4772,0.19700695,6.16666666666667,
2968,3.7081448,3.33333333333333,
8138,3.51893515,4.16666666666667,
8144,0.553320583333333,4.16666666666667,
13676,0.924731183333333,9.51666666666667,
14490,0.21646185,6.48333333333333,
15029,4.16666666666667,3.23333333333333,
6391,2.65215925,6.85,
7109,5.29164578333333,3.46666666666667,
7110,3.59673053333333,3.46666666666667,
7112,0.3145137,3.46666666666667,
2069,0.95897115,10.4666666666667,
3695,3.71616466666667,3.96666666666667,
2070,1.16409935,9.43333333333333,
3700,0.576118033333333,3.08333333333333,
11973,3.17192796666667,4.41666666666667,
11976,1.5979963,4.41666666666667,
11978,0.51982135,4.41666666666667,
11,5.21480561666667,4.66666666666667,
8136,4.52654936666667,7.93333333333333,
9937,7.33505441666667,3.76666666666667,
4771,0.7619787,12.2166666666667,
4768,1.43181818333333,13.8,
6392,1.38633646666667,10.55,
7111,2.00942895,7.16666666666667,
11154,0.38578995,11.9,
11965,7.39722993333333,8.48333333333333,
11968,5.80127595,8.48333333333333,
25,0.668920533333333,6.51666666666667,
2970,1.1899313,11.9833333333333,
3699,0.3791235,8.65,
4775,9.00911576666667,4.68333333333333,
4789,1.23828166666667,4.68333333333333,
8097,4.10555555,3.13333333333333,
22,0.423908166666667,8.55,
2074,7.72830416666667,3.88333333333333,
2075,6.707896,3.88333333333333,
8133,6.01475441666667,11.6166666666667,
8139,3.02388565,11.6166666666667,
8140,2.52137308333333,11.6166666666667,
9939,4.78220888333333,7.45,
6390,3.96794871666667,13.7,
6393,0.209865883333333,13.7,
7108,6.87894736666667,10.3166666666667,
7646,9.92608695,6.85,
7647,8.00301003333333,6.85,
7648,6.11621758333333,6.85,
7649,4.15543326666667,6.85,
7650,2.07209993333333,6.85,
7651,0.0312836,6.85,
2071,0.193225566666667,16.2833333333333,
6394,10.4693897,3.75,
6402,0.3510185,3.75,
2068,1.96907216666667,18.4333333333333,
3689,8.65254236666667,11.9333333333333,
3691,6.97652553333333,11.9333333333333,
3697,2.10326143333333,11.9333333333333,
3698,1.24119246666667,11.9333333333333,
4773,10.1172255333333,7.96666666666667,
4782,5.11905461666667,7.96666666666667,
4783,4.56349906666667,7.96666666666667,
4784,3.99531725,7.96666666666667,
4788,1.80325341666667,7.96666666666667,
8,6.52128116666667,11.7,
9,6.09393073333333,11.7,
19,1.73035321666667,11.7,
20,1.2955706,11.7,
2073,8.68068511666667,7.03333333333333,
11152,2.64632635,15.6333333333333,
11963,8.44710593333333,12.2166666666667,
11964,7.92354571666667,12.2166666666667,
11966,6.87366971666667,12.2166666666667,
11969,5.28581203333333,12.2166666666667,
11970,4.75949625,12.2166666666667,
11971,4.23866291666667,12.2166666666667,
11972,3.70956238333333,12.2166666666667,
11974,2.65109463333333,12.2166666666667,
11975,2.11346021666667,12.2166666666667,
11977,1.06036188333333,12.2166666666667,
13681,7.29164436666667,7.8,
13684,3.94142838333333,7.8,
13687,0.555317533333333,7.8,
14492,9.80864336666667,3.73333333333333,
14496,3.23378323333333,3.73333333333333,
14497,1.53886798333333,3.73333333333333,
24,1.11336498333333,10.3166666666667,
2082,0.0364745,6.88333333333333,
2972,10.4921072,3.8,
8168,0.491693483333333,3.61666666666667,
8137,4.02654936666667,15.7333333333333,
8142,1.53371275,15.7333333333333,
8145,0.0533205833333333,15.7333333333333,
9935,9.8508772,11.5666666666667,
10659,9.56591135,7.8,
10660,7.78019706666667,7.8,
10663,2.32083683333333,7.8,
11156,10.8026619166667,4.11666666666667,
11157,9.66629828333333,4.11666666666667,
11158,8.4898277,4.11666666666667,
11160,6.20403878333333,4.11666666666667,
11161,5.0275682,4.11666666666667,
8147,10.4180989166667,4.88333333333333,
8154,6.9125744,4.88333333333333,
8165,1.39696903333333,4.88333333333333,
6396,7.95277051666667,7.48333333333333,
6397,6.65406921666667,7.48333333333333,
