transit_id,stop_1,stop_2,stop_3,stop_4,stop_5,stop_6,stop_7,stop_8,stop_9,stop_10,stop_11,stop_12,stop_13,stop_14,stop_15,stop_16,stop_17,stop_18
1,0.625,0.625,0.5625,0.5625,0.375,0.5,0.6875,0.5625,0.3125,0.5,0.5,0.625,0.4375,0.625,0.5625,0.5625,0.5625,0.4375
2,0,0.0625,0,0.0625,0,0,0.125,0.0625,0.0625,0.0625,0.125,0,0.125,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.466666666666667,0.6,0.533333333333333,0.333333333333333,0.466666666666667,0.333333333333333,0.533333333333333,0.333333333333333,0.4,0.4,0.666666666666667,0.533333333333333,0.466666666666667,0.266666666666667,0.333333333333333,0.466666666666667,0.533333333333333,0.466666666666667
5,0.4,0.266666666666667,0.2,0.266666666666667,0.466666666666667,0.533333333333333,0.333333333333333,0.466666666666667,0.466666666666667,0.333333333333333,0.2,0.333333333333333,0.4,0.533333333333333,0.533333333333333,0.533333333333333,0.2,0.533333333333333
6,0.2,0.266666666666667,0.333333333333333,0.266666666666667,0.333333333333333,0.2,0.2,0.533333333333333,0.533333333333333,0.466666666666667,0.333333333333333,0.466666666666667,0.666666666666667,0.4,0.666666666666667,0.333333333333333,0.466666666666667,0.266666666666667
7,0.533333333333333,0.6,0.666666666666667,0.6,0.466666666666667,0.6,0.6,0.733333333333333,0.6,0.733333333333333,0.8,0.533333333333333,0.733333333333333,0.533333333333333,0.466666666666667,0.866666666666667,0.866666666666667,0.533333333333333
8,0.6,0.666666666666667,0.666666666666667,0.8,0.866666666666667,0.666666666666667,0.666666666666667,0.6,0.6,0.666666666666667,0.4,0.6,0.533333333333333,0.533333333333333,0.466666666666667,0.4,0.266666666666667,0.6
9,0.642857142857143,0.5,0.714285714285714,0.714285714285714,0.571428571428571,0.714285714285714,0.5,0.5,0.785714285714286,0.428571428571429,0.571428571428571,0.857142857142857,0.571428571428571,0.785714285714286,0.642857142857143,0.785714285714286,0.714285714285714,0.714285714285714
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Avg large transit skip,0.541666666666667,0.608333333333333,0.5875,0.498611111111111,0.436111111111111,0.477777777777778,0.606944444444444,0.543055555555555,0.4375,0.544444444444444,0.655555555555556,0.563888888888889,0.545833333333333,0.475,0.454166666666667,0.631944444444444,0.654166666666667,0.479166666666667
,,,,,,,,,,,,,,,,,,
,0.307142857142857,0.29375,0.319047619047619,0.351686507936508,0.373015873015873,0.352380952380952,0.304166666666667,0.360416666666667,0.408035714285714,0.326289682539683,0.271626984126984,0.376190476190476,0.382738095238095,0.375396825396825,0.384920634920635,0.342063492063492,0.274603174603175,0.352380952380952
